weight,height,color,no_of_wheels,vehicle_type
1315,157,white,4,Car
1237,88,black,4,Car
1829,72,white,4,Car
1702,170,blue,2,Bike
1221,100,white,4,Car
1991,108,black,4,Car
2032,175,yellow,4,Car
1088,155,green,2,Bike
1525,138,white,4,Car
2443,158,yellow,4,Car
1499,150,green,2,Bike
2435,165,yellow,4,Car
1413,72,green,4,Car
1419,60,blue,4,Car
1902,146,black,4,Car
2420,68,blue,4,Car
1449,71,green,4,Car
1037,74,black,2,Bike
2215,178,blue,4,Car
1219,51,blue,4,Car
1033,92,black,2,Bike
1469,69,red,4,Car
1485,160,yellow,2,Bike
822,93,green,2,Bike
861,162,blue,2,Bike
2312,96,red,4,Car
2039,166,black,4,Car
1915,154,blue,4,Car
1063,117,white,2,Bike
2023,68,white,4,Car
1191,156,red,2,Bike
1934,52,yellow,4,Car
1777,67,red,2,Bike
2033,79,yellow,4,Car
2381,106,white,4,Car
1470,100,red,2,Bike
2163,140,blue,4,Car
873,137,white,2,Bike
2078,155,blue,4,Car
1585,90,green,2,Bike
1377,134,green,4,Car
876,134,white,2,Bike
2360,178,blue,4,Car
1658,113,blue,4,Car
1280,108,blue,2,Bike
1324,142,red,2,Bike
1466,116,green,2,Bike
861,119,red,2,Bike
1266,108,black,2,Bike
1759,55,white,2,Bike
2237,68,black,4,Car
1267,54,green,4,Car
1427,63,red,2,Bike
1426,162,red,4,Car
1855,94,red,4,Car
2239,137,red,4,Car
1046,72,blue,2,Bike
2100,83,blue,4,Car
2097,77,black,4,Car
1278,51,red,4,Car
2274,107,green,4,Car
1329,69,green,2,Bike
1831,127,white,4,Car
1547,135,black,4,Car
2500,101,white,4,Car
1162,141,blue,2,Bike
2484,155,yellow,4,Car
1465,112,blue,2,Bike
2461,73,yellow,4,Car
1275,103,black,4,Car
1177,112,black,2,Bike
1307,104,white,4,Car
1460,93,black,4,Car
848,173,white,2,Bike
1212,95,white,2,Bike
1640,63,yellow,2,Bike
995,143,red,2,Bike
834,127,blue,2,Bike
2170,120,black,4,Car
1818,108,yellow,4,Car
1999,133,white,4,Car
1749,56,white,2,Bike
1085,110,yellow,2,Bike
1165,97,yellow,2,Bike
1602,133,white,4,Car
1026,56,white,2,Bike
976,145,black,2,Bike
2202,154,green,4,Car
1097,76,green,2,Bike
869,165,yellow,2,Bike
865,86,yellow,2,Bike
1546,102,black,4,Car
1061,84,white,2,Bike
1514,140,green,2,Bike
957,96,green,2,Bike
1806,161,red,4,Car
1432,86,yellow,2,Bike
1616,161,red,4,Car
1647,154,green,4,Car
2224,99,blue,4,Car
2490,91,blue,4,Car
2077,156,blue,4,Car
1602,169,black,4,Car
1276,80,black,2,Bike
2383,118,red,4,Car
974,153,green,2,Bike
905,89,yellow,2,Bike
1936,112,green,4,Car
2019,147,yellow,4,Car
1307,77,white,4,Car
1515,89,black,4,Car
1022,134,black,2,Bike
1703,138,black,4,Car
1480,96,yellow,2,Bike
1939,131,black,4,Car
1007,55,yellow,2,Bike
930,150,green,2,Bike
1889,58,black,4,Car
2286,108,blue,4,Car
994,62,red,2,Bike
1427,177,yellow,4,Car
2283,84,yellow,4,Car
2209,62,yellow,4,Car
1931,172,green,4,Car
1393,71,white,4,Car
1518,106,yellow,4,Car
1431,175,yellow,2,Bike
2431,119,blue,4,Car
1502,73,blue,4,Car
2477,57,white,4,Car
1319,170,white,2,Bike
1404,87,red,2,Bike
1960,126,red,4,Car
1528,89,red,4,Car
938,121,black,2,Bike
2219,120,white,4,Car
1087,81,white,2,Bike
2018,173,blue,4,Car
1200,104,green,2,Bike
1673,94,black,4,Car
1617,130,green,2,Bike
1136,66,yellow,2,Bike
1790,136,white,4,Car
1359,115,green,2,Bike
2473,126,green,4,Car
1103,175,white,2,Bike
1071,153,red,2,Bike
996,127,black,2,Bike
2272,178,black,4,Car
820,138,blue,2,Bike
1138,75,blue,2,Bike
2413,175,yellow,4,Car
1566,176,blue,2,Bike
1671,133,yellow,2,Bike
1764,126,black,2,Bike
2386,80,white,4,Car
1961,173,yellow,4,Car
840,154,white,2,Bike
2195,104,blue,4,Car
1130,80,yellow,2,Bike
1721,143,green,2,Bike
2024,172,red,4,Car
955,144,green,2,Bike
1819,132,white,4,Car
1300,54,black,4,Car
1463,71,yellow,4,Car
1036,140,red,2,Bike
2196,142,yellow,4,Car
1511,110,red,2,Bike
1763,134,black,4,Car
2492,78,green,4,Car
1494,179,yellow,2,Bike
1260,125,blue,4,Car
1000,114,blue,2,Bike
2298,145,white,4,Car
1871,107,blue,4,Car
1050,161,blue,2,Bike
1072,157,green,2,Bike
2411,62,red,4,Car
1773,82,green,4,Car
1545,67,red,2,Bike
1694,129,yellow,2,Bike
1708,105,white,2,Bike
1360,161,white,4,Car
1740,162,blue,4,Car
1408,71,blue,4,Car
1763,171,red,2,Bike
2419,82,yellow,4,Car
1977,63,blue,4,Car
1903,103,yellow,4,Car
2046,121,white,4,Car
1483,176,green,4,Car
2479,86,black,4,Car
1796,180,blue,4,Car
2273,158,red,4,Car
2386,89,blue,4,Car
1600,82,white,4,Car
1645,79,yellow,4,Car
1052,128,blue,2,Bike
2082,123,yellow,4,Car
2243,85,white,4,Car
1554,172,yellow,2,Bike
2015,127,blue,4,Car
2006,168,red,4,Car
1465,149,red,4,Car
2472,92,yellow,4,Car
1034,119,yellow,2,Bike
1059,110,yellow,2,Bike
1257,172,yellow,2,Bike
2414,109,yellow,4,Car
1945,94,green,4,Car
977,80,blue,2,Bike
843,64,green,2,Bike
1297,54,white,2,Bike
1640,180,green,2,Bike
1984,171,yellow,4,Car
1704,159,black,2,Bike
2217,167,white,4,Car
2056,171,blue,4,Car
1251,92,green,2,Bike
1148,150,blue,2,Bike
1261,76,yellow,4,Car
1727,103,yellow,4,Car
1285,69,blue,4,Car
1308,58,blue,4,Car
2040,180,yellow,4,Car
1703,103,white,4,Car
1448,147,black,4,Car
2282,58,red,4,Car
979,59,white,2,Bike
1054,71,blue,2,Bike
2422,172,white,4,Car
1201,138,red,4,Car
1269,153,black,2,Bike
1301,90,green,2,Bike
1910,79,green,4,Car
2223,69,blue,4,Car
1939,64,black,4,Car
1727,135,yellow,4,Car
2146,88,blue,4,Car
1368,160,black,4,Car
2005,76,blue,4,Car
1708,107,green,2,Bike
2016,59,black,4,Car
954,162,yellow,2,Bike
2291,68,black,4,Car
1889,179,red,4,Car
2126,94,black,4,Car
2261,86,red,4,Car
1902,86,white,4,Car
1940,128,red,4,Car
1638,73,black,4,Car
1323,90,green,4,Car
1994,91,yellow,4,Car
1448,165,black,4,Car
1503,71,blue,2,Bike
1522,125,white,2,Bike
2142,131,black,4,Car
1738,100,green,2,Bike
1507,119,black,4,Car
1805,174,black,4,Car
2309,173,green,4,Car
2318,148,blue,4,Car
2084,132,yellow,4,Car
2406,50,black,4,Car
1466,61,white,2,Bike
1818,75,blue,4,Car
1797,79,blue,2,Bike
987,73,white,2,Bike
2315,128,yellow,4,Car
2124,85,black,4,Car
1669,144,red,2,Bike
2380,82,blue,4,Car
1572,147,yellow,2,Bike
1176,154,yellow,2,Bike
2006,72,black,4,Car
2031,98,yellow,4,Car
1360,59,blue,4,Car
1939,62,red,4,Car
1751,112,blue,2,Bike
1015,127,black,2,Bike
2221,69,red,4,Car
2307,82,yellow,4,Car
1372,102,green,4,Car
2353,149,yellow,4,Car
1898,136,black,4,Car
1076,56,blue,2,Bike
1925,117,black,4,Car
1203,166,white,2,Bike
1471,65,red,2,Bike
1933,145,yellow,4,Car
1009,72,black,2,Bike
1781,59,blue,2,Bike
1708,93,black,4,Car
2361,131,blue,4,Car
810,133,yellow,2,Bike
2294,133,white,4,Car
822,51,black,2,Bike
2352,146,yellow,4,Car
1755,56,white,4,Car
2309,124,black,4,Car
1008,145,blue,2,Bike
1806,123,green,4,Car
1661,145,white,2,Bike
1853,142,red,4,Car
1300,83,white,2,Bike
2328,102,red,4,Car
2093,82,green,4,Car
2324,67,green,4,Car
897,138,yellow,2,Bike
1421,73,black,2,Bike
2223,83,black,4,Car
1600,72,green,4,Car
1542,155,black,2,Bike
1025,156,green,2,Bike
1094,111,white,2,Bike
1571,92,green,2,Bike
1761,79,blue,2,Bike
1561,125,black,4,Car
2032,95,blue,4,Car
1611,152,green,4,Car
1826,158,black,4,Car
1260,74,white,2,Bike
1118,51,black,2,Bike
1583,54,green,2,Bike
2047,140,blue,4,Car
1628,85,green,4,Car
2241,101,black,4,Car
1613,112,blue,2,Bike
1685,94,blue,2,Bike
1061,137,white,2,Bike
814,56,white,2,Bike
1166,119,yellow,2,Bike
895,146,yellow,2,Bike
2205,163,red,4,Car
2241,134,white,4,Car
1236,107,green,4,Car
1300,172,black,4,Car
1793,155,white,4,Car
1849,180,white,4,Car
1177,122,black,2,Bike
1964,140,green,4,Car
2485,76,green,4,Car
2243,175,yellow,4,Car
1383,120,black,2,Bike
2258,146,yellow,4,Car
1591,92,yellow,4,Car
2146,56,red,4,Car
1570,142,black,2,Bike
1691,63,green,2,Bike
1324,88,green,4,Car
1326,99,green,4,Car
2432,90,green,4,Car
1101,150,black,2,Bike
2068,108,blue,4,Car
2376,107,black,4,Car
1124,66,blue,2,Bike
2184,175,green,4,Car
2092,113,blue,4,Car
1130,166,green,2,Bike
1844,62,yellow,4,Car
1312,119,black,4,Car
1503,108,white,2,Bike
842,158,blue,2,Bike
973,165,yellow,2,Bike
875,150,blue,2,Bike
2398,95,white,4,Car
2491,75,blue,4,Car
1774,139,red,2,Bike
1555,173,black,2,Bike
2318,92,blue,4,Car
1367,122,green,4,Car
2037,133,black,4,Car
1387,167,white,2,Bike
1306,98,blue,4,Car
1632,114,white,2,Bike
2050,147,white,4,Car
1132,106,green,2,Bike
824,179,red,2,Bike
1410,115,yellow,2,Bike
2190,103,green,4,Car
1199,75,red,2,Bike
1331,138,yellow,2,Bike
2114,103,white,4,Car
2289,146,red,4,Car
1253,141,yellow,2,Bike
1619,78,blue,2,Bike
1043,168,green,2,Bike
1973,150,black,4,Car
2366,156,blue,4,Car
837,136,white,2,Bike
1370,117,yellow,2,Bike
2082,146,red,4,Car
1374,148,yellow,4,Car
1804,76,white,4,Car
1515,80,blue,2,Bike
2150,150,white,4,Car
1551,62,red,4,Car
2307,161,blue,4,Car
1392,180,white,2,Bike
1549,128,green,2,Bike
1144,71,yellow,2,Bike
1972,60,blue,4,Car
1789,140,green,4,Car
1190,114,white,2,Bike
845,81,black,2,Bike
2238,157,blue,4,Car
1430,108,white,4,Car
2064,87,white,4,Car
1018,53,yellow,2,Bike
863,170,white,2,Bike
1976,89,blue,4,Car
813,141,white,2,Bike
1358,123,green,2,Bike
1865,140,white,4,Car
886,123,green,2,Bike
1337,92,yellow,2,Bike
1096,68,yellow,2,Bike
1350,98,white,4,Car
1251,160,yellow,2,Bike
1757,101,red,2,Bike
2390,104,blue,4,Car
1023,55,black,2,Bike
1280,124,green,4,Car
1836,70,white,4,Car
2223,104,black,4,Car
812,125,yellow,2,Bike
1934,63,white,4,Car
1131,73,black,2,Bike
1324,114,white,2,Bike
822,136,blue,2,Bike
2453,96,black,4,Car
1249,54,white,2,Bike
1446,83,green,2,Bike
1853,126,red,4,Car
2368,83,blue,4,Car
1571,174,red,2,Bike
2020,158,black,4,Car
1405,132,white,4,Car
1282,105,white,4,Car
2342,143,black,4,Car
1239,100,black,4,Car
1259,70,red,2,Bike
2211,67,yellow,4,Car
1055,74,green,2,Bike
2298,79,blue,4,Car
1064,126,red,2,Bike
887,57,black,2,Bike
2003,145,black,4,Car
806,165,green,2,Bike
2322,66,blue,4,Car
1186,64,yellow,2,Bike
823,154,red,2,Bike
1268,129,white,2,Bike
1153,167,white,2,Bike
1937,116,black,4,Car
1369,97,blue,4,Car
1041,170,black,2,Bike
978,120,red,2,Bike
1375,56,red,4,Car
866,135,black,2,Bike
1322,87,yellow,4,Car
2377,68,green,4,Car
2068,96,blue,4,Car
1073,131,blue,2,Bike
1887,93,black,4,Car
1569,87,red,4,Car
2267,104,blue,4,Car
1250,137,blue,2,Bike
972,90,red,2,Bike
1631,143,red,4,Car
2307,105,blue,4,Car
934,96,white,2,Bike
1216,157,yellow,2,Bike
1101,51,green,2,Bike
1269,99,red,4,Car
1290,64,blue,4,Car
2407,163,yellow,4,Car
1779,173,blue,2,Bike
1832,104,green,4,Car
1432,65,white,2,Bike
965,72,blue,2,Bike
1613,171,yellow,4,Car
1303,131,white,4,Car
1024,60,red,2,Bike
2146,98,yellow,4,Car
1856,136,yellow,4,Car
2446,158,blue,4,Car
1785,113,white,4,Car
1120,118,green,2,Bike
1314,166,blue,2,Bike
1345,139,yellow,2,Bike
1410,122,red,4,Car
2494,156,blue,4,Car
2295,91,green,4,Car
1383,126,black,2,Bike
2121,117,black,4,Car
2355,78,yellow,4,Car
1657,84,red,4,Car
1308,58,green,2,Bike
986,82,blue,2,Bike
1247,171,yellow,4,Car
844,129,black,2,Bike
1924,52,black,4,Car
2364,92,red,4,Car
1816,145,white,4,Car
1407,131,blue,2,Bike
1476,152,black,4,Car
1113,109,blue,2,Bike
1030,57,red,2,Bike
999,148,red,2,Bike
1018,71,yellow,2,Bike
1732,168,blue,4,Car
1784,137,black,4,Car
1149,53,green,2,Bike
2428,76,white,4,Car
1581,74,blue,4,Car
1041,68,blue,2,Bike
1214,156,white,4,Car
2081,153,green,4,Car
1582,120,black,4,Car
1134,156,green,2,Bike
2395,173,red,4,Car
1659,122,green,2,Bike
1946,104,yellow,4,Car
2174,57,white,4,Car
2076,171,red,4,Car
2073,95,black,4,Car
1343,133,blue,4,Car
2431,85,green,4,Car
1385,111,red,2,Bike
1770,93,blue,4,Car
1899,161,black,4,Car
1984,119,yellow,4,Car
2471,164,yellow,4,Car
1091,151,white,2,Bike
956,71,white,2,Bike
1371,127,blue,4,Car
2016,57,red,4,Car
2331,96,red,4,Car
838,72,red,2,Bike
1406,155,yellow,2,Bike
1131,111,red,2,Bike
1622,138,black,2,Bike
2151,53,green,4,Car
2318,51,black,4,Car
2084,123,yellow,4,Car
2038,111,yellow,4,Car
2487,169,green,4,Car
2432,180,red,4,Car
1585,170,black,4,Car
2290,116,red,4,Car
1733,132,green,4,Car
2262,176,black,4,Car
1047,118,blue,2,Bike
1739,50,white,2,Bike
894,58,white,2,Bike
1267,65,blue,4,Car
1160,128,red,2,Bike
1351,145,black,2,Bike
886,175,green,2,Bike
2338,145,black,4,Car
2213,112,white,4,Car
1081,173,yellow,2,Bike
2296,80,green,4,Car
1806,125,red,4,Car
2035,150,white,4,Car
2267,83,yellow,4,Car
1867,68,white,4,Car
1817,131,green,4,Car
2040,149,black,4,Car
1080,145,green,2,Bike
1874,102,red,4,Car
2147,70,green,4,Car
2066,121,red,4,Car
1003,65,green,2,Bike
2038,86,yellow,4,Car
1374,134,white,4,Car
1848,129,green,4,Car
915,173,yellow,2,Bike
1710,88,red,4,Car
1407,103,black,2,Bike
1647,115,black,4,Car
1028,82,blue,2,Bike
1514,104,green,4,Car
1730,162,white,4,Car
996,55,yellow,2,Bike
2497,144,green,4,Car
1434,66,green,2,Bike
1050,79,black,2,Bike
929,111,red,2,Bike
1246,127,blue,4,Car
1087,96,green,2,Bike
1633,176,black,2,Bike
1147,104,white,2,Bike
2054,115,blue,4,Car
1048,86,green,2,Bike
899,173,yellow,2,Bike
1783,143,green,2,Bike
2313,67,black,4,Car
1370,108,yellow,4,Car
2210,126,red,4,Car
1338,93,yellow,2,Bike
2048,58,red,4,Car
1348,77,white,2,Bike
819,163,green,2,Bike
1295,134,yellow,2,Bike
2053,100,black,4,Car
2436,127,red,4,Car
1444,175,green,2,Bike
2218,125,black,4,Car
1040,50,blue,2,Bike
1401,156,yellow,4,Car
925,130,white,2,Bike
1928,148,yellow,4,Car
2483,152,black,4,Car
1421,127,red,4,Car
1842,158,white,4,Car
2487,132,blue,4,Car
1149,122,yellow,2,Bike
1782,166,white,4,Car
947,155,white,2,Bike
921,134,blue,2,Bike
2051,132,white,4,Car
1739,85,white,4,Car
1465,127,green,4,Car
951,86,black,2,Bike
1522,179,black,2,Bike
1214,150,green,2,Bike
1547,124,white,2,Bike
2329,161,white,4,Car
822,54,blue,2,Bike
1511,159,red,2,Bike
1353,152,blue,4,Car
1883,150,blue,4,Car
2475,106,white,4,Car
1831,125,yellow,4,Car
1100,57,white,2,Bike
1142,169,red,2,Bike
1848,54,red,4,Car
2300,118,white,4,Car
1288,163,green,4,Car
1443,84,yellow,2,Bike
2471,132,red,4,Car
1382,84,black,4,Car
1439,66,black,4,Car
1119,80,yellow,2,Bike
1098,123,white,2,Bike
1168,179,green,2,Bike
882,138,black,2,Bike
1565,145,green,4,Car
1012,107,black,2,Bike
1033,146,green,2,Bike
880,134,black,2,Bike
2309,95,blue,4,Car
2088,91,red,4,Car
1962,84,green,4,Car
1041,52,red,2,Bike
1194,132,black,2,Bike
2023,162,blue,4,Car
1652,135,white,2,Bike
1304,167,white,2,Bike
1928,150,black,4,Car
2354,128,red,4,Car
2018,137,black,4,Car
844,147,white,2,Bike
1960,147,yellow,4,Car
1824,90,black,4,Car
2303,103,green,4,Car
1622,140,red,4,Car
2279,123,green,4,Car
1351,180,white,4,Car
2083,180,green,4,Car
1541,114,white,4,Car
1665,114,red,2,Bike
2419,123,green,4,Car
1583,115,white,2,Bike
1566,59,blue,4,Car
1208,168,green,4,Car
1769,176,yellow,2,Bike
1236,103,black,4,Car
1365,153,black,4,Car
913,126,white,2,Bike
1740,78,black,4,Car
1034,164,white,2,Bike
2292,117,green,4,Car
1763,122,yellow,2,Bike
2428,68,black,4,Car
2094,75,blue,4,Car
2372,112,red,4,Car
1106,180,white,2,Bike
1795,110,blue,4,Car
2156,101,white,4,Car
1144,82,green,2,Bike
1985,60,red,4,Car
1696,67,black,4,Car
1734,153,white,4,Car
1102,138,red,2,Bike
1289,135,red,2,Bike
1120,150,white,2,Bike
1776,72,blue,2,Bike
1305,129,black,2,Bike
2232,130,green,4,Car
949,82,red,2,Bike
1865,115,white,4,Car
1788,98,red,4,Car
1559,158,black,2,Bike
1976,172,white,4,Car
860,55,black,2,Bike
1951,93,white,4,Car
1907,91,blue,4,Car
2142,144,white,4,Car
1984,120,red,4,Car
1024,54,red,2,Bike
2418,121,white,4,Car
1072,88,black,2,Bike
2229,55,blue,4,Car
848,65,black,2,Bike
862,82,white,2,Bike
2387,120,blue,4,Car
2034,106,yellow,4,Car
1442,134,white,2,Bike
2393,146,yellow,4,Car
1926,126,blue,4,Car
1688,106,blue,4,Car
1571,103,white,4,Car
2487,109,blue,4,Car
1504,124,yellow,4,Car
2042,166,green,4,Car
823,126,white,2,Bike
1430,75,red,4,Car
995,62,yellow,2,Bike
2009,108,green,4,Car
1379,92,green,4,Car
857,140,blue,2,Bike
1340,53,black,2,Bike
2424,125,green,4,Car
1398,115,blue,4,Car
1658,115,black,4,Car
1487,60,black,2,Bike
2111,68,yellow,4,Car
2279,123,black,4,Car
804,159,red,2,Bike
1646,101,blue,4,Car
1159,95,blue,2,Bike
2033,145,green,4,Car
2488,173,white,4,Car
1049,144,black,2,Bike
2344,153,black,4,Car
2135,88,white,4,Car
1141,66,white,2,Bike
1711,81,blue,4,Car
2320,73,blue,4,Car
1604,77,red,2,Bike
2319,59,black,4,Car
2017,74,red,4,Car
2412,93,white,4,Car
939,150,yellow,2,Bike
1232,148,blue,2,Bike
1892,111,blue,4,Car
1248,170,black,4,Car
875,152,white,2,Bike
2341,153,white,4,Car
2003,121,green,4,Car
1940,64,green,4,Car
1445,72,green,2,Bike
2397,168,white,4,Car
2090,137,white,4,Car
1208,57,black,4,Car
2086,112,white,4,Car
1135,155,black,2,Bike
1959,80,red,4,Car
945,78,white,2,Bike
1769,166,red,4,Car
1850,141,white,4,Car
2140,123,black,4,Car
1788,83,black,4,Car
1009,138,white,2,Bike
2097,130,yellow,4,Car
2326,172,black,4,Car
999,62,black,2,Bike
2473,177,yellow,4,Car
884,134,blue,2,Bike
2409,114,yellow,4,Car
2161,100,red,4,Car
2158,123,yellow,4,Car
1201,61,red,4,Car
2122,161,white,4,Car
2314,162,red,4,Car
2451,171,green,4,Car
1783,60,white,2,Bike
1079,170,black,2,Bike
2233,95,blue,4,Car
2140,180,red,4,Car
1107,169,white,2,Bike
1220,91,red,4,Car
1973,64,blue,4,Car
2008,54,red,4,Car
1606,68,red,2,Bike
2265,93,black,4,Car
2329,64,red,4,Car
1880,73,red,4,Car
2320,158,white,4,Car
1659,98,green,4,Car
1272,139,yellow,4,Car
1288,85,green,4,Car
829,90,black,2,Bike
2055,92,white,4,Car
871,144,green,2,Bike
1817,162,blue,4,Car
2415,161,red,4,Car
1472,140,yellow,2,Bike
2280,167,green,4,Car
2051,118,blue,4,Car
2383,177,green,4,Car
1092,177,green,2,Bike
1454,112,yellow,2,Bike
919,130,green,2,Bike
2196,57,black,4,Car
2126,160,red,4,Car
847,145,white,2,Bike
816,118,red,2,Bike
1701,120,blue,2,Bike
1990,116,red,4,Car
2068,65,black,4,Car
2098,180,yellow,4,Car
1172,170,red,2,Bike
2152,53,red,4,Car
1527,84,black,4,Car
2476,53,white,4,Car
1017,90,black,2,Bike
1185,160,green,2,Bike
965,94,red,2,Bike
1076,117,yellow,2,Bike
815,133,red,2,Bike
1602,179,blue,4,Car
983,68,white,2,Bike
2485,128,green,4,Car
1832,122,red,4,Car
1560,94,red,4,Car
936,108,yellow,2,Bike
2056,131,blue,4,Car
1867,180,blue,4,Car
1914,115,red,4,Car
1088,169,black,2,Bike
900,148,yellow,2,Bike
1418,104,yellow,2,Bike
2174,175,green,4,Car
2353,134,blue,4,Car
1337,157,white,2,Bike
860,143,black,2,Bike
1114,51,blue,2,Bike
1030,81,white,2,Bike
2397,124,black,4,Car
1051,171,black,2,Bike
863,85,white,2,Bike
1246,106,green,2,Bike
2417,67,white,4,Car
1907,121,green,4,Car
2233,66,black,4,Car
918,107,black,2,Bike
2348,84,black,4,Car
1859,169,black,4,Car
2059,58,white,4,Car
2317,143,green,4,Car
975,179,green,2,Bike
1487,73,blue,2,Bike
2043,156,yellow,4,Car
1903,120,white,4,Car
1388,75,red,4,Car
1467,58,white,2,Bike
1987,78,yellow,4,Car
1177,80,red,2,Bike
1917,63,red,4,Car
1472,108,green,4,Car
1625,154,red,2,Bike
2329,162,red,4,Car
1231,163,green,2,Bike
2000,57,yellow,4,Car
1273,165,white,2,Bike
2273,140,yellow,4,Car
2066,160,blue,4,Car
1977,91,white,4,Car
973,141,green,2,Bike
2008,82,green,4,Car
810,111,blue,2,Bike
2406,53,yellow,4,Car
892,116,green,2,Bike
1572,160,white,4,Car
1010,50,yellow,2,Bike
1670,123,black,4,Car
2161,168,green,4,Car
2385,130,white,4,Car
1690,88,red,4,Car
1250,72,green,4,Car
954,133,yellow,2,Bike
1940,87,yellow,4,Car
1858,133,black,4,Car
2170,179,black,4,Car
2457,81,yellow,4,Car
1534,103,blue,2,Bike
1168,91,white,2,Bike
1334,122,green,4,Car
871,179,white,2,Bike
1294,88,green,4,Car
1720,51,yellow,4,Car
1495,126,red,2,Bike
1137,101,green,2,Bike
1812,81,black,4,Car
1803,164,yellow,4,Car
920,73,white,2,Bike
1829,132,red,4,Car
1919,57,white,4,Car
2297,150,black,4,Car
1456,54,red,4,Car
1090,176,yellow,2,Bike
2004,170,yellow,4,Car
2457,111,yellow,4,Car
1787,65,yellow,4,Car
1674,160,white,4,Car
1049,158,yellow,2,Bike
2088,75,red,4,Car
1012,168,yellow,2,Bike
1388,133,red,2,Bike
1518,134,green,4,Car
1598,83,black,2,Bike
1917,67,white,4,Car
1062,80,green,2,Bike
948,55,blue,2,Bike
1249,95,white,2,Bike
824,103,black,2,Bike
2019,145,green,4,Car
2388,119,red,4,Car
952,150,white,2,Bike
2039,65,black,4,Car
1478,51,red,2,Bike
1997,96,red,4,Car
2477,59,blue,4,Car
2360,116,red,4,Car
1071,112,green,2,Bike
1831,61,white,4,Car
921,103,blue,2,Bike
1536,52,red,4,Car
1173,123,black,2,Bike
2277,140,yellow,4,Car
1144,77,blue,2,Bike
2057,62,white,4,Car
2116,111,black,4,Car
1854,96,blue,4,Car
1776,106,red,4,Car
1249,57,green,2,Bike
1564,153,blue,2,Bike
1624,64,blue,2,Bike
1635,102,green,2,Bike
1698,80,blue,2,Bike
829,56,green,2,Bike
2263,118,yellow,4,Car
1139,94,black,2,Bike
1452,111,white,4,Car
842,168,red,2,Bike
2379,103,yellow,4,Car
1089,62,blue,2,Bike
985,51,red,2,Bike
2329,73,blue,4,Car
2001,91,black,4,Car
1244,140,green,4,Car
